country,year,variable,cutpoint,y_r,n,survey,cc_rank,firstyr,lastyr,variable_cp,ccode,tcode,qcode,rcode,ktcode,tq,year_obs
United Kingdom,1981,neigh2,1,1016,1167,evs_combo,648,1981,2016,neigh2_gt01,1,1,1,1,1,176,25
United Kingdom,1984,toomany5,1,698,985,eb21,648,1981,2016,toomany5_gt01,1,4,2,2,4,176,25
United Kingdom,1984,toomany5,2,484,985,eb21,648,1981,2016,toomany5_gt02,1,4,2,3,4,176,25
United Kingdom,1984,toomany5,3,353,985,eb21,648,1981,2016,toomany5_gt03,1,4,2,4,4,176,25
United Kingdom,1984,toomany5,4,125,985,eb21,648,1981,2016,toomany5_gt04,1,4,2,5,4,176,25
United Kingdom,1988,better4a,1,952,1086,eb30,648,1981,2016,better4a_gt01,1,8,3,6,8,176,25
United Kingdom,1988,better4a,2,636,1086,eb30,648,1981,2016,better4a_gt02,1,8,3,7,8,176,25
United Kingdom,1988,better4a,3,138,1086,eb30,648,1981,2016,better4a_gt03,1,8,3,8,8,176,25
United Kingdom,1990,neigh2,1,1310,1484,evs_combo,648,1981,2016,neigh2_gt01,1,10,1,1,10,176,25
United Kingdom,1993,problem2,1,601,1259,eb39,648,1981,2016,problem2_gt01,1,13,4,9,13,176,25
United Kingdom,1994,problem2,1,497,1286,eb411,648,1981,2016,problem2_gt01,1,14,4,9,14,176,25
United Kingdom,1995,jobs5,1,872,1016,issp1995,648,1981,2016,jobs5_gt01,1,15,5,10,15,176,25
United Kingdom,1995,jobs5,2,521,1016,issp1995,648,1981,2016,jobs5_gt02,1,15,5,11,15,176,25
United Kingdom,1995,jobs5,3,254,1016,issp1995,648,1981,2016,jobs5_gt03,1,15,5,12,15,176,25
United Kingdom,1995,jobs5,4,52,1016,issp1995,648,1981,2016,jobs5_gt04,1,15,5,13,15,176,25
United Kingdom,1995,number5,1,573,987,issp1995,648,1981,2016,number5_gt01,1,15,6,14,15,176,25
United Kingdom,1995,number5,2,324,987,issp1995,648,1981,2016,number5_gt02,1,15,6,15,15,176,25
United Kingdom,1995,number5,3,40,987,issp1995,648,1981,2016,number5_gt03,1,15,6,16,15,176,25
United Kingdom,1995,number5,4,10,987,issp1995,648,1981,2016,number5_gt04,1,15,6,17,15,176,25
United Kingdom,1995,crime5,1,920,996,issp1995,648,1981,2016,crime5_gt01,1,15,7,18,15,176,25
United Kingdom,1995,crime5,2,745,996,issp1995,648,1981,2016,crime5_gt02,1,15,7,19,15,176,25
United Kingdom,1995,crime5,3,389,996,issp1995,648,1981,2016,crime5_gt03,1,15,7,20,15,176,25
United Kingdom,1995,crime5,4,69,996,issp1995,648,1981,2016,crime5_gt04,1,15,7,21,15,176,25
United Kingdom,1995,econ5,1,921,975,issp1995,648,1981,2016,econ5_gt01,1,15,8,22,15,176,25
United Kingdom,1995,econ5,2,602,975,issp1995,648,1981,2016,econ5_gt02,1,15,8,23,15,176,25
United Kingdom,1995,econ5,3,167,975,issp1995,648,1981,2016,econ5_gt03,1,15,8,24,15,176,25
United Kingdom,1995,econ5,4,14,975,issp1995,648,1981,2016,econ5_gt04,1,15,8,25,15,176,25
United Kingdom,1995,exclude5,1,510,1005,issp1995,648,1981,2016,exclude5_gt01,1,15,9,26,15,176,25
United Kingdom,1995,exclude5,2,208,1005,issp1995,648,1981,2016,exclude5_gt02,1,15,9,27,15,176,25
United Kingdom,1995,exclude5,3,66,1005,issp1995,648,1981,2016,exclude5_gt03,1,15,9,28,15,176,25
United Kingdom,1995,exclude5,4,7,1005,issp1995,648,1981,2016,exclude5_gt04,1,15,9,29,15,176,25
United Kingdom,1996,jobs2,1,614,1525,eb443,648,1981,2016,jobs2_gt01,1,16,10,30,16,176,25
United Kingdom,1997,lrights2,1,847,1213,eb471,648,1981,2016,lrights2_gt01,1,17,11,31,17,176,25
United Kingdom,1997,lreunite2,1,431,1137,eb471,648,1981,2016,lreunite2_gt01,1,17,12,32,17,176,25
United Kingdom,1997,lexpel_crim2,1,255,1173,eb471,648,1981,2016,lexpel_crim2_gt01,1,17,13,33,17,176,25
United Kingdom,1997,lexpel_umemp2,1,790,1144,eb471,648,1981,2016,lexpel_umemp2_gt01,1,17,14,34,17,176,25
United Kingdom,1997,lexpel2,1,966,1165,eb471,648,1981,2016,lexpel2_gt01,1,17,15,35,17,176,25
United Kingdom,1997,easy_nat2,1,464,1026,eb471,648,1981,2016,easy_nat2_gt01,1,17,16,36,17,176,25
United Kingdom,1997,iexpel2,1,539,1185,eb471,648,1981,2016,iexpel2_gt01,1,17,17,37,17,176,25
United Kingdom,1997,punish_emp2,1,114,1190,eb471,648,1981,2016,punish_emp2_gt01,1,17,18,38,17,176,25
United Kingdom,1997,iindiv2,1,775,1190,eb471,648,1981,2016,iindiv2_gt01,1,17,19,39,17,176,25
United Kingdom,1997,expel2,1,973,1143,eb471,648,1981,2016,expel2_gt01,1,17,20,40,17,176,25
United Kingdom,1997,better4,1,837,1049,eb471,648,1981,2016,better4_gt01,1,17,21,41,17,176,25
United Kingdom,1997,better4,2,632,1049,eb471,648,1981,2016,better4_gt02,1,17,21,42,17,176,25
United Kingdom,1997,better4,3,150,1049,eb471,648,1981,2016,better4_gt03,1,17,21,43,17,176,25
United Kingdom,1998,neigh2,1,968,1093,wvs_combo,648,1981,2016,neigh2_gt01,1,18,1,1,18,176,25
United Kingdom,1998,jobs2,1,422,973,wvs_combo,648,1981,2016,jobs2_gt01,1,18,10,30,18,176,25
United Kingdom,1999,neigh2,1,845,1000,evs_combo,648,1981,2016,neigh2_gt01,1,19,1,1,19,176,25
United Kingdom,1999,jobs5,1,2392,2681,bsa1999,648,1981,2016,jobs5_gt01,1,19,5,10,19,176,25
United Kingdom,1999,jobs5,2,1482,2681,bsa1999,648,1981,2016,jobs5_gt02,1,19,5,11,19,176,25
United Kingdom,1999,jobs5,3,925,2681,bsa1999,648,1981,2016,jobs5_gt03,1,19,5,12,19,176,25
United Kingdom,1999,jobs5,4,129,2681,bsa1999,648,1981,2016,jobs5_gt04,1,19,5,13,19,176,25
United Kingdom,2000,lrights2,1,717,1126,eb53,648,1981,2016,lrights2_gt01,1,20,11,31,20,176,25
United Kingdom,2000,lreunite2,1,381,1102,eb53,648,1981,2016,lreunite2_gt01,1,20,12,32,20,176,25
United Kingdom,2000,lexpel_crim2,1,216,1131,eb53,648,1981,2016,lexpel_crim2_gt01,1,20,13,33,20,176,25
United Kingdom,2000,lexpel_umemp2,1,629,1077,eb53,648,1981,2016,lexpel_umemp2_gt01,1,20,14,34,20,176,25
United Kingdom,2000,lexpel2,1,789,1080,eb53,648,1981,2016,lexpel2_gt01,1,20,15,35,20,176,25
United Kingdom,2000,easy_nat2,1,374,1022,eb53,648,1981,2016,easy_nat2_gt01,1,20,16,36,20,176,25
United Kingdom,2000,iexpel2,1,439,1140,eb53,648,1981,2016,iexpel2_gt01,1,20,17,37,20,176,25
United Kingdom,2000,punish_emp2,1,106,1156,eb53,648,1981,2016,punish_emp2_gt01,1,20,18,38,20,176,25
United Kingdom,2000,iindiv2,1,700,1128,eb53,648,1981,2016,iindiv2_gt01,1,20,19,39,20,176,25
United Kingdom,2000,expel2,1,836,1077,eb53,648,1981,2016,expel2_gt01,1,20,20,40,20,176,25
United Kingdom,2000,refugee3,1,974,1215,eb53,648,1981,2016,refugee3_gt01,1,20,22,44,20,176,25
United Kingdom,2000,refugee3,2,206,1215,eb53,648,1981,2016,refugee3_gt02,1,20,22,45,20,176,25
United Kingdom,2000,asylum3,1,906,1215,eb53,648,1981,2016,asylum3_gt01,1,20,23,46,20,176,25
