country,year,item,r,n,survey,cc_rank
Sweden,1979,number5c,1,337,so_combo,1145
Sweden,1979,number5c,2,311,so_combo,1145
Sweden,1979,number5c,3,239,so_combo,1145
Sweden,1979,number5c,4,330,so_combo,1145
Sweden,1979,number5c,5,67,so_combo,1145
Sweden,1980,number5c,1,367,so_combo,1145
Sweden,1980,number5c,2,350,so_combo,1145
Sweden,1980,number5c,3,196,so_combo,1145
Sweden,1980,number5c,4,356,so_combo,1145
Sweden,1980,number5c,5,64,so_combo,1145
Sweden,1981,number5c,1,431,so_combo,1145
Sweden,1981,number5c,2,441,so_combo,1145
Sweden,1981,number5c,3,228,so_combo,1145
Sweden,1981,number5c,4,303,so_combo,1145
Sweden,1981,number5c,5,48,so_combo,1145
Sweden,1982,neigh2,1,77.34699307718319,"evs_combo, wvs_combo",1145
Sweden,1982,neigh2,2,1833.2767708218557,"evs_combo, wvs_combo",1145
Sweden,1982,number5c,1,600,so_combo,1145
Sweden,1982,number5c,2,483,so_combo,1145
Sweden,1982,number5c,3,204,so_combo,1145
Sweden,1982,number5c,4,289,so_combo,1145
Sweden,1982,number5c,5,45,so_combo,1145
Sweden,1983,number5c,1,637,so_combo,1145
Sweden,1983,number5c,2,585,so_combo,1145
Sweden,1983,number5c,3,249,so_combo,1145
Sweden,1983,number5c,4,463,so_combo,1145
Sweden,1983,number5c,5,82,so_combo,1145
Sweden,1985,number5c,1,599,so_combo,1145
Sweden,1985,number5c,2,536,so_combo,1145
Sweden,1985,number5c,3,194,so_combo,1145
Sweden,1985,number5c,4,300,so_combo,1145
Sweden,1985,number5c,5,55,so_combo,1145
Sweden,1987,refugee5,1,327,som_combo,1145
Sweden,1987,refugee5,2,351,som_combo,1145
Sweden,1987,refugee5,3,504,som_combo,1145
Sweden,1987,refugee5,4,305,som_combo,1145
Sweden,1987,refugee5,5,119,som_combo,1145
Sweden,1988,refugee5,1,303,som_combo,1145
Sweden,1988,refugee5,2,305,som_combo,1145
Sweden,1988,refugee5,3,544,som_combo,1145
Sweden,1988,refugee5,4,281,som_combo,1145
Sweden,1988,refugee5,5,144,som_combo,1145
Sweden,1988,refugee5a,1,336,snes1988,1145
Sweden,1988,refugee5a,2,529,snes1988,1145
Sweden,1988,refugee5a,3,573,snes1988,1145
Sweden,1988,refugee5a,4,572,snes1988,1145
Sweden,1988,refugee5a,5,429,snes1988,1145
Sweden,1990,neigh2,1,93.18513674343106,evs_combo,1145
Sweden,1990,neigh2,2,955.8991446584217,evs_combo,1145
Sweden,1990,refugee5a,1,590,som_combo,1145
Sweden,1990,refugee5a,2,337,som_combo,1145
Sweden,1990,refugee5a,3,342,som_combo,1145
Sweden,1990,refugee5a,4,155,som_combo,1145
Sweden,1990,refugee5a,5,99,som_combo,1145
Sweden,1991,refugee5,1,443,som_combo,1145
Sweden,1991,refugee5,2,390,som_combo,1145
Sweden,1991,refugee5,3,413,som_combo,1145
Sweden,1991,refugee5,4,197,som_combo,1145
Sweden,1991,refugee5,5,79,som_combo,1145
Sweden,1991,refugee5a,1,485,som_combo,1145
Sweden,1991,refugee5a,2,365,som_combo,1145
Sweden,1991,refugee5a,3,328,som_combo,1145
Sweden,1991,refugee5a,4,187,som_combo,1145
Sweden,1991,refugee5a,5,147,som_combo,1145
Sweden,1992,refugee5,1,732,som_combo,1145
Sweden,1992,refugee5,2,481,som_combo,1145
Sweden,1992,refugee5,3,394,som_combo,1145
Sweden,1992,refugee5,4,166,som_combo,1145
Sweden,1992,refugee5,5,71,som_combo,1145
Sweden,1992,refugee5a,1,750,som_combo,1145
Sweden,1992,refugee5a,2,445,som_combo,1145
Sweden,1992,refugee5a,3,355,som_combo,1145
Sweden,1992,refugee5a,4,173,som_combo,1145
Sweden,1992,refugee5a,5,115,som_combo,1145
Sweden,1993,marry4a,1,234,som_combo,1145
Sweden,1993,marry4a,2,129,som_combo,1145
Sweden,1993,marry4a,3,327,som_combo,1145
Sweden,1993,marry4a,4,776,som_combo,1145
Sweden,1993,refugee5,1,643,som_combo,1145
Sweden,1993,refugee5,2,466,som_combo,1145
Sweden,1993,refugee5,3,476,som_combo,1145
Sweden,1993,refugee5,4,157,som_combo,1145
Sweden,1993,refugee5,5,66,som_combo,1145
Sweden,1993,refugee5a,1,625,som_combo,1145
Sweden,1993,refugee5a,2,438,som_combo,1145
Sweden,1993,refugee5a,3,390,som_combo,1145
Sweden,1993,refugee5a,4,205,som_combo,1145
Sweden,1993,refugee5a,5,147,som_combo,1145
Sweden,1994,refugee5,1,516,som_combo,1145
Sweden,1994,refugee5,2,489,som_combo,1145
Sweden,1994,refugee5,3,429,som_combo,1145
Sweden,1994,refugee5,4,167,som_combo,1145
Sweden,1994,refugee5,5,52,som_combo,1145
Sweden,1994,refugee5a,1,640,"snrs1994, som_combo",1145
Sweden,1994,refugee5a,2,581,"snrs1994, som_combo",1145
Sweden,1994,refugee5a,3,608,"snrs1994, som_combo",1145
Sweden,1994,refugee5a,4,351,"snrs1994, som_combo",1145
Sweden,1994,refugee5a,5,110,som_combo,1145
Sweden,1995,crime5,1,290.18705637682024,issp1995,1145
Sweden,1995,crime5,2,447.2025644501436,issp1995,1145
Sweden,1995,crime5,3,306.7985038876979,issp1995,1145
Sweden,1995,crime5,4,155.19571466623313,issp1995,1145
Sweden,1995,crime5,5,63.739430617581014,issp1995,1145
Sweden,1995,econ5,1,197.42425398461592,issp1995,1145
Sweden,1995,econ5,2,275.06877268714493,issp1995,1145
Sweden,1995,econ5,3,398.06814245869975,issp1995,1145
Sweden,1995,econ5,4,274.8821272094948,issp1995,1145
Sweden,1995,econ5,5,44.93489874431224,issp1995,1145
Sweden,1995,jobs5,1,88.376633667422,issp1995,1145
Sweden,1995,jobs5,2,122.15946512212815,issp1995,1145
Sweden,1995,jobs5,3,341.6545468388932,issp1995,1145
Sweden,1995,jobs5,4,469.7400058764193,issp1995,1145
Sweden,1995,jobs5,5,240.30605247477467,issp1995,1145
Sweden,1995,number5,1,478.88563428128407,issp1995,1145
Sweden,1995,number5,2,385.2362658702406,issp1995,1145
Sweden,1995,number5,3,315.75748681491257,issp1995,1145
Sweden,1995,number5,4,56.18028877274344,issp1995,1145
Sweden,1995,number5,5,29.90993779346225,issp1995,1145
Sweden,1995,refugee5,1,545,som_combo,1145
Sweden,1995,refugee5,2,487,som_combo,1145
Sweden,1995,refugee5,3,456,som_combo,1145
Sweden,1995,refugee5,4,172,som_combo,1145
Sweden,1995,refugee5,5,63,som_combo,1145
Sweden,1995,refugee5a,1,546,som_combo,1145
Sweden,1995,refugee5a,2,429,som_combo,1145
Sweden,1995,refugee5a,3,394,som_combo,1145
Sweden,1995,refugee5a,4,222,som_combo,1145
Sweden,1995,refugee5a,5,141,som_combo,1145
Sweden,1996,jobs2,1,382.97039507232915,eb443,1145
Sweden,1996,jobs2,2,824.8058533601346,eb443,1145
Sweden,1996,jobs3,1,243.1845728254398,wvs_combo,1145
Sweden,1996,jobs3,3,704.5347295025088,wvs_combo,1145
Sweden,1996,neigh2,1,47.03569927076408,wvs_combo,1145
Sweden,1996,neigh2,2,962.7306957122349,wvs_combo,1145
Sweden,1996,policy4,1,9.006836030571845,wvs_combo,1145
Sweden,1996,policy4,2,558.4238338954543,wvs_combo,1145
Sweden,1996,policy4,3,323.245337541634,wvs_combo,1145
Sweden,1996,policy4,4,85.0645625109563,wvs_combo,1145
Sweden,1996,refugee5,1,541,som_combo,1145
Sweden,1996,refugee5,2,462,som_combo,1145
Sweden,1996,refugee5,3,429,som_combo,1145
Sweden,1996,refugee5,4,161,som_combo,1145
Sweden,1996,refugee5,5,64,som_combo,1145
Sweden,1996,refugee5a,1,507,som_combo,1145
Sweden,1996,refugee5a,2,415,som_combo,1145
Sweden,1996,refugee5a,3,437,som_combo,1145
Sweden,1996,refugee5a,4,195,som_combo,1145
Sweden,1996,refugee5a,5,142,som_combo,1145
Sweden,1997,asylum3,1,89.12266006338876,eb48,1145
Sweden,1997,asylum3,2,712.3172465604049,eb48,1145
Sweden,1997,asylum3,3,125.41517430648666,eb48,1145
Sweden,1997,better4,1,138.3000063867982,eb471,1145
Sweden,1997,better4,2,253.4246910979886,eb471,1145
Sweden,1997,better4,3,306.80608996781774,eb471,1145
Sweden,1997,better4,4,90.21783553198834,eb471,1145
Sweden,1997,easy_nat2,1,581.0062663767835,eb471,1145
Sweden,1997,easy_nat2,2,221.97353559850723,eb471,1145
Sweden,1997,expel2,1,83.4611902759282,eb471,1145
Sweden,1997,expel2,2,809.3533227687532,eb471,1145
Sweden,1997,iexpel2,1,452.37967008208886,eb471,1145
Sweden,1997,iexpel2,2,447.69236427291065,eb471,1145
Sweden,1997,iindiv2,1,162.75891184932206,eb471,1145
Sweden,1997,iindiv2,2,784.2910292968502,eb471,1145
Sweden,1997,lexpel_crim2,1,832.7429137341034,eb471,1145
Sweden,1997,lexpel_crim2,2,109.65395998631566,eb471,1145
Sweden,1997,lexpel_umemp2,1,164.56023688826627,eb471,1145
Sweden,1997,lexpel_umemp2,2,737.558379056383,eb471,1145
Sweden,1997,lexpel2,1,89.54952667095196,eb471,1145
Sweden,1997,lexpel2,2,830.0940617084207,eb471,1145
